Date,low_regime,high_regime
2019-07-18,2.215489711079562e-08,0.999999977845104
2019-07-19,2.5110888080436293e-08,0.999999974889113
2019-07-22,2.6335331769014324e-08,0.9999999736646693
2019-07-23,2.7784732641579032e-08,0.9999999722152685
2019-07-24,2.8714910949522e-08,0.9999999712850902
2019-07-25,2.8134983595227778e-08,0.9999999718650177
2019-07-26,2.8723362931286737e-08,0.9999999712766382
2019-07-29,3.1187165960958365e-08,0.9999999688128351
2019-07-30,3.244240128191857e-08,0.9999999675575998
2019-07-31,3.512419384256786e-08,0.9999999648758072
2019-08-01,5.001812776855077e-08,0.9999999499818731
2019-08-02,7.481778870292047e-08,0.9999999251822123
2019-08-05,8.633802662786284e-08,0.9999999136619742
2019-08-06,7.945506879108912e-08,0.999999920544932
2019-08-07,8.08175819670609e-08,0.9999999191824188
2019-08-08,7.048369138472528e-08,0.9999999295163096
2019-08-09,7.792361621024553e-08,0.9999999220763847
2019-08-12,8.520695971804893e-08,0.9999999147930412
2019-08-13,6.623311828247463e-08,0.9999999337668827
2019-08-14,1.144043873981215e-07,0.9999998855956136
2019-08-15,1.1421850534455554e-07,0.9999998857814956
2019-08-16,1.4325087337254143e-07,0.9999998567491275
2019-08-19,1.7546172541707076e-07,0.9999998245382755
2019-08-20,1.416260510500758e-07,0.99999985837395
2019-08-21,1.0078283080221773e-07,0.9999998992171701
2019-08-22,9.303180337948599e-08,0.9999999069681977
2019-08-23,1.1030807399466076e-07,0.9999998896919269
2019-08-26,1.1721413076032875e-07,0.9999998827858702
2019-08-27,1.379506610571146e-07,0.9999998620493398
2019-08-28,1.6359160710284582e-07,0.9999998364083936
2019-08-29,1.439147894387602e-07,0.9999998560852114
2019-08-30,1.56348832181746e-07,0.9999998436511686
2019-09-02,1.6074434783596052e-07,0.9999998392556528
2019-09-03,1.6059824022856278e-07,0.9999998394017604
2019-09-04,1.2124225958784254e-07,0.9999998787577411
2019-09-05,1.2286613281907153e-07,0.9999998771338681
2019-09-06,1.014206417091831e-07,0.9999998985793591
2019-09-09,8.946137340654302e-08,0.9999999105386275
2019-09-10,8.421252055484169e-08,0.9999999157874804
2019-09-11,8.541473107354834e-08,0.99999991458527
2019-09-12,6.440680400541235e-08,0.9999999355931971
2019-09-13,5.1567000366804046e-08,0.9999999484330008
2019-09-16,4.1985055934344034e-08,0.9999999580149452
2019-09-17,5.212359040401345e-08,0.9999999478764109
2019-09-18,4.6011163505523116e-08,0.9999999539888377
2019-09-19,4.1927951777190195e-08,0.9999999580720493
2019-09-20,4.1901546113822006e-08,0.9999999580984551
2019-09-23,3.868496470439628e-08,0.9999999613150365
2019-09-24,4.1148381151873204e-08,0.9999999588516201
2019-09-25,4.589497255103171e-08,0.9999999541050288
2019-09-26,4.7393209604358197e-08,0.9999999526067918
2019-09-27,5.799089513066399e-08,0.9999999420091061
2019-09-30,6.321171112201665e-08,0.99999993678829
2019-10-01,7.606555512815124e-08,0.999999923934446
2019-10-02,7.444240029698714e-08,0.9999999255576008
2019-10-03,7.342427118940933e-08,0.99999992657573
2019-10-04,5.814728008225305e-08,0.9999999418527211
2019-10-07,6.848075305321394e-08,0.9999999315192482
2019-10-08,7.572597654486211e-08,0.9999999242740248
2019-10-09,6.488826548081075e-08,0.9999999351117358
2019-10-10,5.2334829379873485e-08,0.999999947665172
2019-10-11,4.6221825394786515e-08,0.9999999537781759
2019-10-14,4.706507015276845e-08,0.9999999529349312
2019-10-15,4.852326005353426e-08,0.9999999514767411
2019-10-16,4.4335509004956565e-08,0.9999999556644923
2019-10-17,4.39331743417988e-08,0.999999956066827
2019-10-18,3.7658661962467214e-08,0.9999999623413395
2019-10-21,3.6871402361776655e-08,0.9999999631285991
2019-10-22,3.6280764187799285e-08,0.9999999637192373
2019-10-23,4.029373457048531e-08,0.999999959706267
2019-10-24,4.3031102637276444e-08,0.9999999569688989
2019-10-25,3.923494333051621e-08,0.9999999607650581
2019-10-28,3.7043078242079265e-08,0.9999999629569231
2019-10-29,4.093924792644388e-08,0.9999999590607533
2019-10-30,3.608436063079299e-08,0.9999999639156405
2019-10-31,4.470283583090451e-08,0.9999999552971655
2019-11-01,3.3011954072683444e-08,0.9999999669880472
2019-11-04,3.290837980328196e-08,0.9999999670916214
2019-11-05,3.1994728875464424e-08,0.9999999680052724
2019-11-06,3.894236041368035e-08,0.9999999610576409
2019-11-07,3.273790310571799e-08,0.9999999672620984
2019-11-08,3.724666804907627e-08,0.9999999627533334
2019-11-11,3.957324882038919e-08,0.9999999604267524
2019-11-12,4.713838605037204e-08,0.9999999528616154
2019-11-13,4.941257126439208e-08,0.9999999505874301
2019-11-14,4.056664738729323e-08,0.999999959433354
2019-11-15,3.67378174165164e-08,0.9999999632621839
2019-11-18,3.8898047841196884e-08,0.9999999611019534
2019-11-19,3.858598060189708e-08,0.9999999614140206
2019-11-20,3.826130166273e-08,0.9999999617386994
2019-11-21,3.583552201854029e-08,0.9999999641644791
2019-11-22,3.8583107036385266e-08,0.999999961416894
2019-11-25,4.046186768854203e-08,0.9999999595381334
2019-11-26,4.139083400811671e-08,0.9999999586091671
2019-11-27,4.0811708061645756e-08,0.999999959188293
2019-11-28,4.3164363469707895e-08,0.9999999568356375
2019-11-29,5.07562056233425e-08,0.9999999492437953
2019-12-02,4.610798003707901e-08,0.9999999538920209
2019-12-03,4.385787502957926e-08,0.999999956142126
2019-12-04,3.980265481009468e-08,0.9999999601973463
2019-12-05,3.612563754666301e-08,0.9999999638743636
2019-12-06,3.53007207206519e-08,0.9999999646992803
2019-12-09,3.3050835187146576e-08,0.9999999669491658
2019-12-10,3.216686535475243e-08,0.9999999678331357
2019-12-11,2.9608236520477806e-08,0.9999999703917646
2019-12-12,2.1846115693240374e-08,0.9999999781538853
2019-12-13,2.2973256460188708e-08,0.9999999770267445
2019-12-16,1.8863713486864212e-08,0.9999999811362875
2019-12-17,1.8177150868101273e-08,0.99999998182285
2019-12-18,2.098062397973848e-08,0.9999999790193768
2019-12-19,1.8137067252826702e-08,0.9999999818629336
2019-12-20,1.708469192686135e-08,0.999999982915309
2019-12-23,1.732589071364501e-08,0.9999999826741102
2019-12-24,1.428397771860582e-08,0.9999999857160231
2019-12-25,1.3569420622947612e-08,0.9999999864305801
2019-12-26,1.6796658258305915e-08,0.9999999832033425
2019-12-27,1.525501478435994e-08,0.9999999847449861
2019-12-30,1.4790873617959781e-08,0.9999999852091271
2019-12-31,1.5219605234322966e-08,0.9999999847803955
2020-01-01,1.367752812879123e-08,0.9999999863224726
2020-01-02,1.2651861521765668e-08,0.9999999873481391
2020-01-03,1.5122860875123896e-08,0.9999999848771398
2020-01-06,1.3319243306079528e-08,0.9999999866807575
2020-01-07,1.4481142263129529e-08,0.9999999855188585
2020-01-08,9.905402042307796e-09,0.9999999900945986
2020-01-09,1.010569066001375e-08,0.99999998989431
2020-01-10,8.735730575552898e-09,0.9999999912642699
2020-01-13,9.880746018694903e-09,0.9999999901192544
2020-01-14,1.0793882303704276e-08,0.9999999892061181
2020-01-15,1.0729892456788986e-08,0.9999999892701079
2020-01-16,1.228670981929171e-08,0.9999999877132906
2020-01-17,1.1866805292507681e-08,0.999999988133195
2020-01-20,1.1868642943078548e-08,0.9999999881313573
2020-01-21,1.4073598888562387e-08,0.9999999859264014
2020-01-22,1.3677929101109728e-08,0.9999999863220711
2020-01-23,1.4135755512699576e-08,0.9999999858642447
2020-01-24,1.5327306959023104e-08,0.9999999846726931
2020-01-27,2.4616217534781808e-08,0.9999999753837825
2020-01-28,1.6819107337294705e-08,0.9999999831808927
2020-01-29,1.9619251689920673e-08,0.9999999803807484
2020-01-30,2.728925385991795e-08,0.9999999727107463
2020-01-31,4.107055079037611e-08,0.9999999589294493
2020-02-03,3.5365455627583144e-08,0.9999999646345443
2020-02-04,2.555032270009318e-08,0.9999999744496773
2020-02-05,2.3770489836031353e-08,0.99999997622951
2020-02-06,2.9706015267722e-08,0.9999999702939846
2020-02-07,4.4629214224015615e-08,0.9999999553707857
2020-02-10,4.408718088897959e-08,0.9999999559128191
2020-02-11,3.033059283138825e-08,0.9999999696694071
2020-02-12,2.747009404651522e-08,0.9999999725299058
2020-02-13,3.5491463484234054e-08,0.9999999645085363
2020-02-14,3.2781274514225274e-08,0.9999999672187252
2020-02-17,3.2256484923260066e-08,0.999999967743515
2020-02-18,3.830947550317961e-08,0.9999999616905245
2020-02-19,3.29604836123598e-08,0.9999999670395162
2020-02-20,4.500717950050027e-08,0.9999999549928204
2020-02-21,4.337711727541297e-08,0.9999999566228827
2020-02-24,7.980148340851588e-08,0.9999999201985164
2020-02-25,7.878546767163626e-08,0.9999999212145321
2020-02-26,8.443570177617978e-08,0.9999999155642979
2020-02-27,1.270595318088117e-07,0.9999998729404679
2020-02-28,1.7086094001426507e-07,0.9999998291390597
2020-03-02,1.3492488864921114e-07,0.9999998650751112
2020-03-03,1.1472128265546775e-07,0.9999998852787172
2020-03-04,1.2607711085107742e-07,0.9999998739228891
2020-03-05,2.428081085559745e-07,0.9999997571918912
