Date,Open,High,Low,Close
01/12/23, 0.014641, 0.014850, 0.014225, 0.014753
01/11/23, 0.014446, 0.014656, 0.014262, 0.014460
01/10/23, 0.014545, 0.014545, 0.014303, 0.014351
01/09/23, 0.013793, 0.014482, 0.013793, 0.014303
01/06/23, 0.013860, 0.013983, 0.013680, 0.013793
01/05/23, 0.013793, 0.014082, 0.013699, 0.013769
01/04/23, 0.013689, 0.014283, 0.013624, 0.013746
01/03/23, 0.014085, 0.014286, 0.013643, 0.013822
01/02/23, 0.013559, 0.014085, 0.012739, 0.014085
12/30/22, 0.013514, 0.014242, 0.012903, 0.013559
12/29/22, 0.013746, 0.014012, 0.013423, 0.013514
12/28/22, 0.014286, 0.014286, 0.013675, 0.013746
12/27/22, 0.014627, 0.014638, 0.014110, 0.014286
12/26/22, 0.014235, 0.014703, 0.014184, 0.014627
12/23/22, 0.014652, 0.014813, 0.014184, 0.014467
12/22/22, 0.013652, 0.014669, 0.013652, 0.014652
12/21/22, 0.014235, 0.014532, 0.013774, 0.013807
12/20/22, 0.014733, 0.014878, 0.013960, 0.014235
12/19/22, 0.015414, 0.015561, 0.014420, 0.014599
12/16/22, 0.015468, 0.016435, 0.015291, 0.015414
12/15/22, 0.015444, 0.015873, 0.015267, 0.015468
12/14/22, 0.015819, 0.015893, 0.015385, 0.015444
12/13/22, 0.015810, 0.015966, 0.015642, 0.015819
12/12/22, 0.015996, 0.016111, 0.015796, 0.015905
12/09/22, 0.015773, 0.016111, 0.015773, 0.015996
12/08/22, 0.016129, 0.016515, 0.015760, 0.015773
12/07/22, 0.016515, 0.016515, 0.015235, 0.015748
12/06/22, 0.015981, 0.016515, 0.015699, 0.015773
12/05/22, 0.016000, 0.016515, 0.015911, 0.015981
12/02/22, 0.016336, 0.016515, 0.015936, 0.016000
12/01/22, 0.016260, 0.016515, 0.016032, 0.016336
11/30/22, 0.016260, 0.016535, 0.016254, 0.016260
11/29/22, 0.016168, 0.016495, 0.016168, 0.016437
11/28/22, 0.016168, 0.016168, 0.016168, 0.016168
11/25/22, 0.016566, 0.016629, 0.015361, 0.016529
11/24/22, 0.016447, 0.016739, 0.016385, 0.016566
11/23/22, 0.016484, 0.016582, 0.016399, 0.016447
11/22/22, 0.016327, 0.016631, 0.016260, 0.016484
11/21/22, 0.016434, 0.016566, 0.016273, 0.016327
11/18/22, 0.016536, 0.016639, 0.016336, 0.016434
11/17/22, 0.016584, 0.016709, 0.016383, 0.016536
11/16/22, 0.016529, 0.016658, 0.016221, 0.016451
11/15/22, 0.016529, 0.016529, 0.016529, 0.016529
11/14/22, 0.016515, 0.016787, 0.016293, 0.016293
11/11/22, 0.016377, 0.016671, 0.016377, 0.016454
11/10/22, 0.016221, 0.016527, 0.016090, 0.016377
11/09/22, 0.016370, 0.016502, 0.016155, 0.016393
11/08/22, 0.016287, 0.016611, 0.015823, 0.016400
11/07/22, 0.016129, 0.016638, 0.015414, 0.016207
11/04/22, 0.016038, 0.016194, 0.015989, 0.016129
11/03/22, 0.016393, 0.016393, 0.015920, 0.016038
11/02/22, 0.015779, 0.016393, 0.015779, 0.016393
11/01/22, 0.016116, 0.016574, 0.016064, 0.016194
10/31/22, 0.016254, 0.016393, 0.016019, 0.016116
10/28/22, 0.016307, 0.016307, 0.016002, 0.016254
10/27/22, 0.016320, 0.016360, 0.016102, 0.016307
10/26/22, 0.016129, 0.016320, 0.016064, 0.016320
10/25/22, 0.016129, 0.016327, 0.016000, 0.016260
10/24/22, 0.016129, 0.016129, 0.016129, 0.016129
10/21/22, 0.016221, 0.016373, 0.016129, 0.016221
10/20/22, 0.016393, 0.016393, 0.015072, 0.016221
10/19/22, 0.016260, 0.016393, 0.015873, 0.016129
10/18/22, 0.016116, 0.016260, 0.015971, 0.016260
10/17/22, 0.015962, 0.016294, 0.015895, 0.016116
10/14/22, 0.015625, 0.016260, 0.015456, 0.015962
10/13/22, 0.015692, 0.015867, 0.015094, 0.015748
10/12/22, 0.015267, 0.015873, 0.015058, 0.015692
10/11/22, 0.015672, 0.016129, 0.015267, 0.015267
10/10/22, 0.016207, 0.016333, 0.015633, 0.015672
10/07/22, 0.016522, 0.016522, 0.015777, 0.016038
10/06/22, 0.016461, 0.016985, 0.016013, 0.016522
10/05/22, 0.016942, 0.017234, 0.016287, 0.016461
10/04/22, 0.017234, 0.017234, 0.016523, 0.016942
10/03/22, 0.016611, 0.017475, 0.016146, 0.017234
09/30/22, 0.017391, 0.017691, 0.016194, 0.016611
